name,school,place,category
 Charla Adkison , Kinston High School ," Kinston , Alabama ", 1985 Award | 7-12 Science 
 Mary Jo Aiken , Benilde-St. Margaret&apos;s High ," St. Louis Park , Minnesota ", 1985 Award | 7-12 Mathematics 
 Kenneth Anderson , Edison Junior High School ," Sioux Falls , South Dakota ", 1985 Award | 7-12 Mathematics 
 Lawrence Badar , Rocky River High School ," Rocky River , Ohio ", 1985 Award | 7-12 Science 
 Wilbur Bergquist , Los Alamos High School ," Los Alamos , New Mexico ", 1985 Award | 7-12 Science 
 Sheila Berman , Patrick Henry Junior High ," Granada Hills , California ", 1985 Award | 7-12 Mathematics 
 Fred Blumenfeld , Millburn High School ," Millburn , New Jersey ", 1985 Award | 7-12 Science 
 Penelope Penny Booth , Hereford Middle School ," Monkton , Maryland ", 1985 Award | 7-12 Mathematics 
 Caroline Bowers , Spring Valley High School ," Columbia , South Carolina ", 1985 Award | 7-12 Science 
 Joan Burchenal , Darien High School ," Darien , Connecticut ", 1985 Award | 7-12 Science 
 Gail F. Burrill , Whitnall High School ," Greenfield , Wisconsin ", 1985 Award | 7-12 Mathematics 
 Robert Buss , Parkway Central High School ," Chesterfield , Missouri ", 1985 Award | 7-12 Mathematics 
 Barbara Cain , Thomas Jefferson Junior High ," Merritt Island , Florida ", 1985 Award | 7-12 Mathematics 
 John Marvin Carptenter , David B. Oliver High School ," Pittsburgh , Pennsylvania ", 1985 Award | 7-12 Mathematics 
 Marsha Ann Byassee Carter , Johnsonville High School ," Johnsonville , South Carolina ", 1985 Award | 7-12 Mathematics 
 William Chalgren , Libby High School ," Libby , Montana ", 1985 Award | 7-12 Mathematics 
 Barbara P. Chamberlain , Shoreline High School ," Seattle , Washington ", 1985 Award | 7-12 Mathematics 
 Clara Clothiaux , Auburn High School ," Auburn , Alabama ", 1985 Award | 7-12 Mathematics 
 Steven Conrad , Roslyn High School ," Roslyn Heights , New York ", 1985 Award | 7-12 Mathematics 
" Donald Cottingham, Sr. ", Maury High School ," Norfolk , Virginia ", 1985 Award | 7-12 Science 
 Judith Counter , Reno High School ," Reno , Nevada ", 1985 Award | 7-12 Science 
 Susan Craig , Glenn Hills High School ," Augusta , Georgia ", 1985 Award | 7-12 Mathematics 
 Rosalie Dance , Ballou Senior High School ," Washington , District of Columbia ", 1985 Award | 7-12 Mathematics 
 Thomas Day , Farmington High School ," Farmington , Connecticut ", 1985 Award | 7-12 Mathematics 
 William Dempsey , Arkansas Senior High School ," Texarkana , Arkansas ", 1985 Award | 7-12 Science 
 JoAnne Dombroski , Kofa High School ," Yuma , Arizona ", 1985 Award | 7-12 Science 
 David Ely , Champlain Valley Union High School ," Hinesburg , Vermont ", 1985 Award | 7-12 Science 
 Eileen Ferrance , John F. Deering Junior High ," West Warwick , Rhode Island ", 1985 Award | 7-12 Science 
 Roberta K. Fillioe , Rutland High School ," Rutland , Vermont ", 1985 Award | 7-12 Mathematics 
 Marian Finch , Los Alamos High School ," Los Alamos , New Mexico ", 1985 Award | 7-12 Mathematics 
 Patience Fisher , Lincoln High School ," Lincoln , Nebraska ", 1985 Award | 7-12 Mathematics 
 Daniel Flegler , Waldwick High School ," Waldwick , New Jersey ", 1985 Award | 7-12 Mathematics 
 Almodovar Fonseca-Rivera , Escuela Superior Cecilio ," Patillas , Puerto Rico ", 1985 Award | 7-12 Science 
 Nilda E. Melendez Fontanez , Efrain Sanchez Hildago ," Moca , Puerto Rico ", 1985 Award | 7-12 Mathematics 
 Charles Gaides , Hillsboro-Deering High School ," Hillsboro , New Hampshire ", 1985 Award | 7-12 Science 
 Roberta Gaines , Stevens High School ," Rapid City , South Dakota ", 1985 Award | 7-12 Science 
 Richard Galbraith , Bryant High School ," Bryant , Arkansas ", 1985 Award | 7-12 Mathematics 
 Anne George , , Maryland , 1985 Award | 7-12 Science 
 Carole Goshorn , Columbus East High School ," Columbus , Indiana ", 1985 Award | 7-12 Science 
 Thomas Graviss , J. M. Atherton High School ," Louisville , Kentucky ", 1985 Award | 7-12 Mathematics 
 F. Hampton , Shawnee Mission High School ," Shawnee Mission , Kansas ", 1985 Award | 7-12 Science 
 Elizabeth Harrison , Oak Grove High school ," Hattiesburg , Mississippi ", 1985 Award | 7-12 Mathematics 
 John Heppler , Dixie High School ," St. George , Utah ", 1985 Award | 7-12 Science 
 Donald Hoff , Velva Public School ," Velva , North Dakota ", 1985 Award | 7-12 Science 
 Herbert Hoppe , Falmouth High School ," Falmouth , Maine ", 1985 Award | 7-12 Mathematics 
 Kenneth House , Huntington High School ," Huntington , New York ", 1985 Award | 7-12 Science 
 John Howe , Presentation High School ," San Jose , California ", 1985 Award | 7-12 Mathematics 
 Ruth Hubbard , Walnut Hills High School ," Cincinnati , Ohio ", 1985 Award | 7-12 Mathematics 
 Donna Jablecki , Brazosport Independent School District ," Freeport , Texas ", 1985 Award | 7-12 Science 
 Elaine Jacobson , Lathrop High School ," Fairbanks , Alaska ", 1985 Award | 7-12 Science 
 Doris Johnson , St. Louis Park Senior High ," St. Louis Park , Minnesota ", 1985 Award | 7-12 Science 
 Nancy Keese , Smyrna High School ," Smyrna , Tennessee ", 1985 Award | 7-12 Mathematics 
 Charlotte Keith , Indian Trail Junior High ," Olathe , Kansas ", 1985 Award | 7-12 Mathematics 
 Timothy Kersey , Telstar Regional High School ," Bethel , Maine ", 1985 Award | 7-12 Science 
" Fred A. Lees, Jr. ", Carmody Junior High ," Lakewood , Colorado ", 1985 Award | 7-12 Mathematics 
 Annabelle Lerch , Pocatello High School ," Pocatello , Idaho ", 1985 Award | 7-12 Science 
 Robert Lewis , Hanby Junior High School ," Wilmington , Delaware ", 1985 Award | 7-12 Science 
 Zoe Ann Godby Lightfoot , Carbondale Community ," Carbondale , Illinois ", 1985 Award | 7-12 Science 
 Elisabeth Linney , Hillside Junior High School ," Boise , Idaho ", 1985 Award | 7-12 Mathematics 
 Donald M. Luepke , Concordia Lutheran High School ," Fort Wayne , Indiana ", 1985 Award | 7-12 Mathematics 
 Jeanne Lundquist , Spring Valley High School ," Spring Valley , Wisconsin ", 1985 Award | 7-12 Science 
 Jane Lusk , Starkville High School ," Starkville , Mississippi ", 1985 Award | 7-12 Science 
 David K. Masunaga , Iolani School ," Honolulu , Hawaii ", 1985 Award | 7-12 Mathematics 
 Mary McCrary , Surry Central High School ," Dobson , North Carolina ", 1985 Award | 7-12 Science 
 Lila McGahee-Adair , Central Gwinnett High School ," Lawrenceville , Georgia ", 1985 Award | 7-12 Science 
 John H. McGehee , Rolling Hills High School ," Rolling Hills Estates , California ", 1985 Award | 7-12 Science 
 Charles W. McLaughlin , Central High School ," St. Louis , Missouri ", 1985 Award | 7-12 Science 
 Janice Meegan , Cranston High School East ," Cranston , Rhode Island ", 1985 Award | 7-12 Mathematics 
 Tom Meskel , Mason City High School ," Mason City , Iowa ", 1985 Award | 7-12 Mathematics 
 Shirley Miller , Milton Junior High School ," Milton , Delaware ", 1985 Award | 7-12 Mathematics 
 Jim Minstrell , Mercer Island High School ," Mercer Island , Washington ", 1985 Award | 7-12 Science 
 J. Irene Murphy , , , 1985 Award | 7-12 Mathematics 
 Richard Myers , Cleveland High School ," Portland , Oregon ", 1985 Award | 7-12 Science 
 Sandra Nagy , Westwood High School ," Mesa , Arizona ", 1985 Award | 7-12 Mathematics 
 Jim Nelson , Seminole County Public Schools ," Sanford , Florida ", 1985 Award | 7-12 Science 
 Joan Nofsinger , Keyser Primary/Middle School ," Keyser , West Virginia ", 1985 Award | 7-12 Mathematics 
 David Olney , Lexington High School ," Lexington , Massachusetts ", 1985 Award | 7-12 Science 
 Mary Parrott , Notre Dame Academy ," Covington , Kentucky ", 1985 Award | 7-12 Science 
 Frank Pavia , Renaissance High School ," Detroit , Michigan ", 1985 Award | 7-12 Science 
 Michael Pearson , International School of Kuala Lumpur ," 50784 Kuala Lumpur , ", 1985 Award | 7-12 Science 
 Neil Pederson , Carrington High School ," Carrington , North Dakota ", 1985 Award | 7-12 Mathematics 
 Robert Peterson , Fraser High School ," Fraser , Michigan ", 1985 Award | 7-12 Mathematics 
 Otto Phanstiel , Jacksonville Episcopal High ," Jacksonville , Florida ", 1985 Award | 7-12 Science 
 David Pleacher , John Handley High School ," Winchester , Virginia ", 1985 Award | 7-12 Mathematics 
 Kenneth Price , Helena High School ," Helena , Montana ", 1985 Award | 7-12 Science 
 Roger Rea , Northwest High School ," Omaha , Nebraska ", 1985 Award | 7-12 Science 
 Richard Rhoad , New Trier High School ," Winnetka , Illinois ", 1985 Award | 7-12 Mathematics 
 Jessie Roberts , Mount View High School ," Welch , West Virginia ", 1985 Award | 7-12 Science 
 Wallace Rogelstad , Rex Putnam High School ," Milwaukie , Oregon ", 1985 Award | 7-12 Mathematics 
 Barbara Rogers , McKinley High School ," Honolulu , Hawaii ", 1985 Award | 7-12 Science 
 Clemontene Rountree , Alice Deal Junior High School ," Washington , District of Columbia ", 1985 Award | 7-12 Science 
 Doyle B. Rowley , Monticello High School ," Monticello , Utah ", 1985 Award | 7-12 Mathematics 
 Donald Schaefer , Bettendorf High School ," Bettendorf , Iowa ", 1985 Award | 7-12 Science 
 Julie Schilawski , Cary Senior High School ," Cary , North Carolina ", 1985 Award | 7-12 Mathematics 
 Forrest Shoemaker , Pomona High School ," Arvada , Colorado ", 1985 Award | 7-12 Science 
 Anne Smith , Buckingham Browne and Nichols ," Cambridge , Massachusetts ", 1985 Award | 7-12 Mathematics 
 Timothy Stahmer , Bonanza High School ," Las Vegas , Nevada ", 1985 Award | 7-12 Mathematics 
 Judith T. Sutcliffe , St. Mark&apos;s School of Texas ," Dallas , Texas ", 1985 Award | 7-12 Mathematics 
" George Taylor, Jr. ", The Baylor School ," Chattanooga , Tennessee ", 1985 Award | 7-12 Science 
 Donald Voorhies , Catholic High School ," New Iberia , Louisiana ", 1985 Award | 7-12 Mathematics 
 Margaret Watson , Duncan High School ," Duncan , Oklahoma ", 1985 Award | 7-12 Mathematics 
 Edward Weber , Twin Spruce Junior High School ," Gillette , Wyoming ", 1985 Award | 7-12 Mathematics 
 Robert Wright , MacArthur High School ," Lawton , Oklahoma ", 1985 Award | 7-12 Science 
,,,
